    abandon	
    forsake; leave behind
    voluntary	
    of your own free will or design
    abrogate	
    revoke formally
    absorb	
    take in a liquid
    access	
    the right to enter
    accord	
    concurrence of opinion
    accountability	
    responsibility to someone or for some activity
    accounting	
    a system that gives quantitative information about finances
    accrual	
    the act of accumulating
    accumulate	
    get or gather together
    achieve	
    gain with effort
    acquisition	
    something gained
    act	
    behave in a certain manner
    action	
    something done (usually as opposed to something said)
    adaptive	
    having a capacity for change
    address	
    the place where a person or organization can be found
    adequacy	
    the quality of being able to meet a need satisfactorily
    adjustment	
    the act of making something different
    administer	
    supervise or be in charge of
    administration	
    the act of governing or exercising authority
    administrative	
    responsible for managing the affairs of a group of people
    administrator	
    someone who manages a government agency or department
    adopt	
    choose and follow, as of theories, policies, or strategies
    adversely	
    in an opposing manner
    advertisement	
    a public promotion of some product or service
    affect	
    have an influence upon
    agency	
    the state of being in action or exerting power
    agenda	
    a list of matters to be taken up, as at a meeting
    aggregate	
    a sum total of many heterogeneous things taken together
    agreement	
    harmony of people's opinions, actions, or characters
    agriculture	
    the practice of cultivating the land or raising stock
    aid	
    the activity of contributing to the fulfillment of a need
    alignment	
    the spatial property possessed by things in a straight line
    alliance	
    the state of being confederated
    allies	
    an coalition of nations joining to fight a common enemy
    allocation	
    the act of distributing or apportioning according to a plan
    allowance	
    the act of permitting
    alternative	
    one of a number of things from which only one can be chosen
    ambiguous	
    having more than one possible meaning
    amendment	
    a statement that is added to a proposal or document
    ammunition	
    projectiles to be fired from a gun
    analysis	
    abstract separation of a whole into its constituent parts
    annex	
    attach to
    annul	
    cancel officially
    appeal	
    earnest or urgent request
    applicable	
    having relevance
    application	
    the action of putting something into operation
    apply	
    employ for a particular purpose
    appoint	
    assign a duty, responsibility or obligation to
    approach	
    move towards
    appropriation	
    money set aside for a specific purpose, as by a legislature
    approval	
    the formal act of giving agreement or permission
    approximation	
    a rough calculation of quantity or degree or worth
    aquaculture	
    rearing aquatic animals or cultivating aquatic plants for food
    arbitration	
    giving authoritative judgment
    architecture	
    the discipline dealing with the design of fine buildings
    arm	
    a human limb
    armament	
    weaponry used by military or naval force
    article	
    one of a class of artifacts
    assembly	
    a group of persons gathered together for a common purpose
    assent	
    to agree or express agreement
    assess	
    estimate the nature, quality, ability or significance of
    assessment	
    the act of judging a person or situation or event
    asset	
    a useful or valuable quality
    assist	
    give help; be of service
    assistance	
    the activity of contributing to the fulfillment of a need
    assistant	
    a person who contributes to the furtherance of an effort
    associate	
    bring or come into action
    association	
    a formal organization of people or groups of people
    asylum	
    a shelter from danger or hardship
    attendance	
    the act of being present at a meeting or event
    attribution	
    assigning to a cause or source
    audience	
    a gathering of spectators or listeners at a performance
    audit	
    examine carefully for accuracy
    audition	
    perform in order to get a role
    auditor	
    a qualified accountant who inspects accounting records
    austerity	
    self-denial, especially refraining from worldly pleasures
    authoritarian	
    characteristic of an absolute ruler or absolute rule
    authorities	
    the organization that is the governing authority of a political unit
    authority	
    the power or right to give orders or make decisions
    autonomous	
    existing as an independent entity
    awareness	
    state of elementary or undifferentiated consciousness
    badge	
    an emblem that signifies your status
    balance	
    harmonious arrangement or relation of parts within a whole
    basis	
    the fundamental assumptions from which something is begun
    beneficiary	
    the recipient of funds or other advantages
    benefit	
    something that aids or promotes well-being
    bilateral	
    having two sides or parts
    bilingual	
    using or knowing two languages
    biodiversity	
    the diversity of plant and animal life in a habitat
    blame	
    an accusation that one is responsible for some misdeed
    bond	
    a connection that fastens things together
    border	
    the boundary of a surface
    brake	
    a restraint used to slow or stop a vehicle
    breach	
    an opening, especially a gap in a dike or fortification
    budget	
    a summary of intended expenditures
    budgetary	
    of or relating to a budget
    burden	
    weight to be borne or conveyed
    bureau	
    an administrative unit of government
    bureaucrat	
    a nonelective government official
    bureaucratic	
    of or relating to unnecessary procedures and red tape
    cadre	
    a nucleus of military personnel capable of expansion
    calculate	
    make a mathematical computation
    cap	
    a tight-fitting headdress
    capability	
    the quality of being able to do something
    capacity	
    capability to perform or produce
    capital	
    a large alphabetic character used in writing or printing
    carrier	
    a person or firm transporting people or goods or messages
    cartel	
    a consortium formed to limit commercial competition
    catalogue	
    a complete list of things, usually arranged systematically
    catchment	
    a structure in which water is collected
    cautious	
    showing careful forethought
    censure	
    harsh criticism or disapproval
    cessation	
    a stopping
    chair	
    a seat for one person, with a support for the back
    challenge	
    a call to engage in a contest or fight
    charter	
    a document creating an institution and specifying its rights
    check	
    examine so as to determine accuracy, quality, or condition
    chemical	
    produced by reactions involving atomic or molecular changes
    citation	
    an official award usually given as formal public statement
    citizen	
    a native or naturalized member of a state
    citizenship	
    membership in a state with rights and duties
    civil	
